Index, X, Y, Depth
261, 722.87, 1177.68, 246.85
262, 764.62, 1636.68, 191.67
263, 853.51, 1021.13, 264.54
264, 529.20, 1645.23, 187.99
265, 798.34, 969.81, 277.67
266, 922.46, 1734.86, 182.44
267, 893.49, 1787.60, 178.78
268, 712.30, 1158.19, 250.40
269, 969.12, 1210.77, 231.39
270, 118.56, 900.76, 256.86
271, 812.07, 975.88, 275.88
272, 320.57, 1115.97, 238.44
273, 949.32, 1533.69, 198.41
274, 802.52, 922.98, 286.16
275, 906.59, 1185.34, 236.76
276, 333.82, 992.07, 263.49
277, 400.44, 1016.36, 263.93
278, 815.69, 1882.90, 171.93
279, 322.04, 1885.46, 162.25
280, 866.43, 1175.91, 240.26
281, 642.26, 1222.64, 240.17
282, 1047.06, 1464.28, 202.83
283, 815.83, 1333.55, 221.82
284, 264.67, 1751.58, 169.91
285, 374.31, 836.46, 301.40
286, 904.44, 1835.64, 174.81
287, 457.35, 1867.84, 168.47
288, 920.80, 1473.82, 204.93
289, 348.74, 1802.29, 169.39
290, 1062.34, 1709.49, 181.29
291, 975.03, 1595.11, 192.48
292, 584.19, 866.03, 306.95
293, 441.43, 1823.36, 171.49
294, 1066.06, 1779.19, 175.11
295, 441.57, 1844.43, 169.86
296, 572.16, 852.94, 309.13
297, 942.20, 1731.38, 182.28
298, 851.98, 1331.54, 221.59
299, 955.34, 1014.98, 256.45
300, 724.58, 1273.12, 232.98
301, 253.55, 1274.86, 213.40
302, 344.16, 1842.96, 165.92
303, 392.10, 1874.59, 165.71
304, 574.72, 871.13, 304.73
305, 784.52, 1694.08, 186.81
306, 176.55, 1198.53, 217.83
307, 814.70, 1078.83, 257.89
308, 387.44, 832.05, 300.72
309, 539.71, 1741.70, 180.06
310, 565.10, 1191.92, 244.10
311, 783.47, 1069.74, 260.44
312, 985.59, 1653.89, 187.87
313, 239.34, 1059.41, 240.51
314, 563.48, 1551.96, 197.96
315, 599.73, 1093.74, 261.01
316, 793.33, 1605.44, 194.38
317, 853.40, 1106.99, 251.79
318, 1016.16, 1683.88, 184.55
319, 897.50, 1810.55, 176.89
320, 812.84, 941.86, 281.59
321, 810.00, 1447.26, 209.67
322, 815.69, 1882.90, 171.93
323, 334.93, 1600.19, 185.42
324, 381.07, 1697.44, 179.19
325, 387.49, 1850.66, 167.06
326, 537.41, 1714.01, 182.25
327, 890.42, 1372.04, 215.72
328, 174.62, 964.76, 251.73
329, 872.89, 1760.92, 181.02
330, 254.45, 1258.33, 214.61
331, 276.46, 1634.61, 179.60
332, 409.07, 1321.99, 217.90
333, 335.41, 1202.10, 227.86
334, 176.55, 1198.53, 217.83
335, 899.35, 1737.00, 182.08
336, 163.37, 851.53, 271.00
337, 358.33, 1866.95, 165.05
338, 757.01, 1865.68, 173.40
339, 810.11, 1169.53, 243.58
340, 260.07, 1034.19, 246.21
341, 1023.37, 1701.02, 183.25
342, 148.31, 907.31, 258.92
343, 896.47, 1369.99, 215.73
344, 265.55, 845.01, 281.49
345, 396.49, 1773.08, 173.57
346, 773.77, 983.89, 276.76
347, 433.92, 1750.45, 176.48
348, 818.71, 1036.98, 263.74
349, 918.57, 1841.19, 174.32
350, 962.81, 1557.56, 195.87
351, 333.28, 1794.11, 169.66
352, 818.01, 1052.90, 262.16
353, 825.65, 1671.18, 188.37
354, 474.85, 1815.35, 172.63
355, 782.66, 1832.09, 175.48
356, 909.98, 1719.53, 183.87
