Index, X, Y, Disparity
198, 480.45, 839.95, 79.80
199, 783.40, 768.43, 81.09
200, 142.65, 612.85, 83.19
201, 465.99, 1773.26, 120.46
202, 946.32, 1271.33, 110.40
203, 964.23, 1251.45, 110.42
204, 369.77, 1808.58, 123.15
205, 1025.26, 1478.82, 120.40
206, 563.65, 866.63, 80.64
207, 145.60, 629.11, 83.65
208, 770.57, 1134.90, 95.87
209, 608.96, 1010.91, 86.65
210, 712.01, 820.20, 81.05
211, 966.02, 1546.06, 120.99
212, 319.92, 1067.67, 94.08
213, 348.30, 700.21, 77.78
214, 710.25, 1070.72, 91.11
215, 193.02, 860.90, 91.30
216, 950.59, 1205.05, 107.54
217, 329.50, 1782.02, 123.48
218, 728.41, 829.17, 81.56
219, 810.36, 858.97, 85.34
220, 824.89, 1080.68, 96.05
221, 358.81, 1185.69, 97.42
222, 428.26, 795.09, 79.40
223, 332.62, 1126.88, 95.98
224, 709.68, 1107.18, 92.66
225, 479.79, 1392.43, 104.00
226, 712.01, 820.20, 81.05
227, 650.02, 851.71, 80.79
228, 684.82, 1070.18, 90.29
229, 757.41, 1159.98, 97.09
230, 156.69, 618.81, 82.51
231, 437.54, 924.06, 83.87
232, 804.50, 1266.18, 102.97
233, 839.65, 1138.76, 99.16
234, 480.01, 1155.48, 93.40
235, 778.09, 1015.76, 90.91
236, 431.81, 864.52, 81.87
237, 558.37, 847.89, 79.69
238, 590.12, 846.63, 79.65
239, 764.69, 849.41, 83.91
240, 878.87, 1533.36, 116.96
241, 666.66, 1434.96, 106.40
242, 419.73, 1149.62, 94.47
243, 442.50, 803.16, 79.13
244, 919.29, 1335.34, 111.46
245, 365.34, 989.58, 89.10
246, 720.65, 1034.28, 90.16
247, 838.07, 1077.55, 96.77
248, 586.10, 1638.49, 114.48
249, 679.00, 1058.23, 89.92
250, 968.33, 1273.02, 111.13
251, 814.52, 770.03, 82.66
252, 452.81, 792.19, 78.66
253, 476.89, 1158.14, 93.59
254, 766.03, 1242.07, 100.55
255, 1013.52, 1439.21, 119.25
256, 519.58, 833.15, 79.32
257, 1013.52, 1439.21, 119.25
258, 814.48, 1038.91, 93.52
259, 991.60, 1290.92, 112.88
260, 316.45, 793.97, 82.64
261, 271.62, 922.18, 90.18
262, 425.03, 860.32, 81.98
263, 229.90, 567.83, 77.11
264, 143.56, 585.43, 81.35
265, 167.99, 502.26, 77.14
266, 449.81, 923.14, 83.69
267, 592.52, 873.51, 80.86
268, 229.61, 886.64, 90.60
269, 400.17, 706.08, 76.52
270, 848.17, 1248.70, 104.13
271, 617.79, 977.77, 85.12
272, 818.99, 1054.45, 94.49
273, 765.62, 1116.00, 94.67
274, 776.84, 829.71, 82.63
275, 496.59, 848.90, 80.23
276, 758.53, 1140.86, 95.51
277, 385.52, 992.85, 88.44
278, 332.76, 1119.99, 95.70
279, 357.74, 1645.59, 116.62
280, 978.94, 1282.07, 111.88
281, 396.57, 1331.87, 103.12
282, 901.09, 1523.25, 117.52
283, 915.98, 1448.85, 115.66
284, 478.10, 854.78, 80.62
285, 358.81, 1185.69, 97.42
286, 987.56, 1241.96, 110.91
287, 851.33, 1119.81, 98.91
288, 694.63, 936.42, 84.91
289, 845.82, 786.17, 84.60
290, 302.40, 965.77, 90.57
291, 202.54, 572.43, 78.64
292, 999.19, 1254.65, 111.65
293, 362.41, 1184.13, 97.72
294, 918.64, 1397.54, 113.69
295, 729.25, 1170.89, 96.07
296, 525.50, 830.23, 79.21
297, 938.94, 1562.00, 120.78
298, 800.11, 1057.00, 93.97
299, 523.07, 874.68, 80.64
300, 494.38, 1365.54, 102.34
301, 1030.65, 1308.23, 115.16
302, 638.73, 814.57, 79.16
303, 1008.82, 1293.72, 113.23
304, 491.88, 815.12, 79.08
305, 362.64, 993.76, 89.19
306, 726.47, 1059.43, 91.05
307, 819.87, 815.20, 84.49
308, 962.35, 1425.41, 116.42
309, 1031.82, 1474.02, 121.13
310, 746.78, 872.96, 84.17
311, 316.45, 793.97, 82.64
312, 486.32, 817.88, 78.58
313, 1050.44, 1315.78, 116.10
314, 358.23, 1476.05, 110.10
315, 287.13, 940.23, 90.43
316, 520.08, 829.37, 79.96
317, 268.30, 649.11, 78.64
318, 759.32, 1165.33, 96.73
319, 932.85, 1210.89, 107.13
320, 383.24, 935.17, 86.11
321, 683.14, 822.32, 80.03
322, 953.70, 1234.04, 109.11
323, 840.27, 1239.03, 103.34
324, 595.15, 963.86, 84.80
325, 715.03, 1135.53, 94.43
326, 902.10, 1377.32, 112.13
327, 428.43, 1381.01, 103.94
328, 233.48, 896.64, 91.49
329, 416.83, 924.79, 84.72
330, 478.10, 854.78, 80.62
331, 395.40, 1339.11, 103.31
332, 952.41, 1483.85, 117.93
333, 985.09, 1358.15, 115.47
334, 336.54, 1153.80, 97.01
335, 933.60, 1816.95, 130.58
336, 508.16, 976.29, 84.91
337, 914.52, 1335.40, 111.18
338, 395.36, 975.03, 87.34
339, 995.60, 1284.50, 112.67
340, 464.88, 832.80, 80.66
341, 568.17, 898.01, 81.67
342, 393.59, 1326.03, 102.43
343, 383.00, 1315.37, 102.51
344, 365.79, 1302.36, 102.26
345, 308.06, 932.62, 89.01
346, 519.68, 1379.92, 102.88
347, 938.94, 1562.00, 120.78
348, 732.24, 811.19, 80.81
349, 538.59, 854.70, 80.10
350, 349.91, 961.69, 88.33
351, 394.32, 676.80, 75.37
352, 365.79, 1302.36, 102.26
353, 376.73, 1489.86, 110.05
354, 981.67, 1404.14, 116.54
355, 815.56, 1047.30, 94.06
356, 342.49, 1153.74, 96.86
357, 719.78, 751.96, 80.84
358, 363.66, 1261.84, 100.44
359, 446.02, 1179.09, 95.08
360, 636.56, 1689.22, 116.88
361, 389.15, 977.59, 87.65
362, 541.95, 1425.13, 104.67
363, 607.91, 856.14, 80.50
364, 627.11, 838.93, 80.22
365, 636.56, 1689.22, 116.88
366, 265.24, 892.60, 89.74
367, 983.01, 1251.56, 110.65
368, 652.01, 1045.80, 88.86
369, 653.37, 819.10, 79.43
370, 178.61, 589.81, 80.19
371, 497.57, 768.97, 77.22
372, 407.12, 1174.50, 95.73
373, 799.96, 1083.05, 94.71
374, 234.14, 523.17, 74.96
375, 954.70, 1332.05, 112.62
376, 817.45, 717.19, 81.87
377, 821.48, 830.46, 85.54
378, 758.14, 1117.87, 94.45
379, 437.06, 807.34, 79.47
380, 343.61, 1032.83, 91.97
381, 442.64, 1452.70, 107.05
382, 673.60, 1136.02, 93.22
383, 916.45, 1435.23, 114.94
384, 753.36, 1135.39, 95.35
385, 357.47, 1253.07, 100.54
386, 708.43, 1074.81, 91.21
387, 467.48, 861.52, 81.34
388, 731.75, 847.16, 82.80
389, 452.56, 941.93, 84.44
390, 619.13, 883.00, 81.81
391, 215.16, 506.03, 75.12
392, 381.03, 1533.48, 111.66
393, 289.53, 1056.70, 94.97
394, 574.12, 960.20, 84.29
395, 370.67, 897.81, 84.90
396, 289.53, 1056.70, 94.97
397, 851.93, 1135.53, 99.69
398, 613.05, 973.18, 85.07
399, 697.00, 842.87, 81.21
400, 685.12, 837.29, 80.76
401, 420.79, 854.62, 81.72
402, 878.07, 1184.97, 103.15
403, 736.64, 857.58, 83.00
404, 852.68, 1550.44, 116.52
405, 425.67, 856.72, 81.69
406, 661.02, 823.09, 80.13
407, 673.21, 852.01, 81.31
408, 403.47, 847.21, 81.66
